#gen  #ind  fitness  [candidate]
0, 0, 11.524515326472601, [0.44562492993940084, 0.0025818549371395653, 17.819305299364263]
0, 1, 96.82973942714352, [0.2184408472918326, 0.0762105862358311, 11.596004405602478]
0, 2, 141.40682220264412, [0.45242183424505955, 0.055665402164375564, 7.893354392111592]
0, 3, 168.61371268005914, [0.41042859788029756, 0.057976599746337155, 7.987237680582347]
0, 4, 486.0656590067603, [0.19226395593298062, 0.02992664849151733, 6.979282867444308]
0, 5, 506.1936184895678, [0.4548478651105395, 0.031485895166197285, 11.489959979459424]
1, 0, 11.43640335193163, [0.4988190674791939, 0.0025167881504081255, 19.0549869475594]
1, 1, 11.524515326472601, [0.44562492993940084, 0.0025818549371395653, 17.819305299364263]
1, 2, 21.68348679948563, [0.45420285915344966, 0.08020291138164631, 18.254685612119612]
1, 3, 21.943814643941824, [0.4142799724732945, 0.0897757099037447, 9.675965171260431]
1, 4, 57.62179239628651, [0.4610811382227265, 0.06353351124955249, 18.49349889657054]
1, 5, 163.28894863241496, [0.27443962412250966, 0.07313317515256629, 18.935701072161184]
2, 0, 10.937486407747105, [0.49280447678583683, 0.08052810561491575, 14.068696839412471]
2, 1, 11.43640335193163, [0.4988190674791939, 0.0025167881504081255, 19.0549869475594]
2, 2, 11.524515326472601, [0.49973582259375965, 0.0025134749098015092, 19.840341037603874]
2, 3, 11.79783625196819, [0.36202964616911326, 0.001694308269489226, 19.65765639635216]
2, 4, 11.79783625196819, [0.48985388615433967, 0.0019785551473958467, 3.944262972499301]
2, 5, 17.668795169515278, [0.45911496494440907, 0.08551065150173737, 14.212902093692625]
3, 0, 6.977774582312927, [0.042707537079869295, 0.0353995127650955, 16.410302852104]
3, 1, 8.360999402660447, [0.49999021697774376, 0.09099511904181708, 15.53357080761617]
3, 2, 10.937486407747105, [0.49280447678583683, 0.08052810561491575, 14.068696839412471]
3, 3, 15.746595353683677, [0.49327827951310055, 0.06834111389508905, 10.554177972707594]
3, 4, 106.36202347696357, [0.41053421757175246, 0.06234832527569476, 18.94666589238697]
3, 5, 150.7282995518438, [0.40641590838313324, 0.059942029432875285, 4.815110785784679]
4, 0, 6.977774582312927, [0.042707537079869295, 0.0353995127650955, 16.410302852104]
4, 1, 8.22121847299018, [0.4999950576866394, 0.09267357643489738, 15.781571616084426]
4, 2, 13.038625521893843, [0.4976387098767912, 0.07142988557905121, 2.122946574055316]
4, 3, 46.245920600052735, [0.17606144361926773, 0.0903213835681356, 2.4824578380080418]
4, 4, 55.93577631053473, [0.3173298360452803, 0.08999707849591068, 18.838583068731893]
4, 5, 57.62179239628651, [0.4426922841400274, 0.0638147756875366, 4.9359325822823035]
